candle_end_time,open,high,low,close,amount,info,ÅÅÃû,±ê×¼»¯³É½»Á¿,µ±ÈÕ³Ö²ÖÕÇµø·ù,µ±ÈÕ¿ª²ÖÕÇµø·ù,µ±ÈÕÆ½²ÖÕÇµø·ù,×Ê½ðÇúÏß,signal,pos,×´Ì¬,×îÖÕÕÇµø·ù
2007-04-25,3432.02,3467.83,3376.08,3448.28,100581000.0,,31.0,0.5,0.000893997445721606,0.004617180566918146,-0.003945153372808541,1.6681808726277036,,1.0,³Ö²Ö,0.000893997445721606
2007-04-26,3465.11,3493.91,3438.88,3493.58,78997700.0,,22.0,0.050000000000000044,0.01313698423561882,0.00809521795888614,0.0047601084598698495,1.6900957384535746,0.0,1.0,³Ö²Ö,0.01313698423561882
2007-04-27,3499.94,3503.89,3436.0,3470.52,80698600.0,,24.0,0.15000000000000002,-0.0066006789596917415,-0.008524835405895121,0.0017002636836711549,1.6789399590728995,,0.0,Æ½²Ö,0.0017002636836711549
2007-04-30,3487.36,3568.68,3478.93,3558.71,94302900.0,,29.0,0.4,0.025411177575694666,0.020337162219924234,0.0047317165151044005,1.7216038005118306,1.0,0.0,¿Õ²Ö,0.0
2007-05-08,3643.81,3699.37,3618.78,3686.03,106789000.0,,37.0,0.8,0.035777009084752676,0.011465397337529451,0.023790289964621847,1.783197635323087,,1.0,¿ª²Ö,0.011465397337529451
2007-05-09,3699.3,3717.34,3556.61,3701.28,140648000.0,,41.0,1.0,0.004137242507521677,0.00041518657368604735,0.003479647208514347,1.7905751563792578,,1.0,³Ö²Ö,0.004137242507521677
2007-05-10,3703.52,3742.23,3671.81,3724.51,115420000.0,,40.0,0.95,0.006276207149958912,0.005546915482165397,0.00048512341676376636,1.8018131769782642,,1.0,³Ö²Ö,0.006276207149958912
2007-05-11,3696.29,3715.37,3629.71,3702.61,88961800.0,,23.0,0.09999999999999998,-0.005879968103186806,0.0015896317959864469,-0.0076959263903171315,1.7912185729697303,0.0,1.0,³Ö²Ö,-0.005879968103186806
2007-05-14,3648.27,3769.16,3620.86,3734.42,91098000.0,,24.0,0.15000000000000002,0.008591236992283813,0.02349111314929974,-0.014794372726266158,1.8066073562350937,,0.0,Æ½²Ö,-0.014794372726266158
2007-05-15,3739.05,3751.64,3600.21,3604.64,93578600.0,,25.0,0.19999999999999996,-0.03475238457377594,-0.03606330616049861,0.0011196689177972452,1.743823442617399,,0.0,¿Õ²Ö,0.0
2007-05-16,3598.0,3700.65,3557.2,3700.29,86229300.0,,19.0,-0.10000000000000009,0.02653524346397984,0.0283062864029413,-0.0019618491721781206,1.7900962222254473,,0.0,¿Õ²Ö,0.0
